bin.id,paired.com.id.initial,paired.com.id.final,vase.id,loc.id,diversity.treatment,disease.treatment,depth,family.id,color,alive.24JAN,shoot.no.24JAN,total.length.24JAN,infected.shoot.length.24JAN,lesion.present.09MAR,alive.26MAR,shoot.no.26MAR,total.length.26MAR,infected.shoot.length.26MAR,lesion.present.26MAR,lesion.spread.T.26MAR,lesion.spread.B.26MAR,lesion.spread.26MAR,mono.viable?
8,V83,D8,75,4,mono,disease,deep,D8,purple,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
8,V83,D8,79,3,mono,control,deep,D8,blue,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
8,V21,SP2,80,4,poly,control,shallow,S5,purple,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
9,V39,M4,82,2,mono,disease,mid,M4,yellow,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
9,V39,M4,82,4,mono,disease,mid,M4,purple,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
9,V5,S3,90,3,mono,control,shallow,S3,blue,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
10,V107,DP3,91,4,poly,control,deep,D1,purple,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
10,V87,D10,96,2,mono,disease,deep,D10,yellow,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
10,V87,D10,96,4,mono,disease,deep,D10,purple,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
10,V79,D4,97,3,mono,control,deep,D4,blue,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
10,V79,D4,97,4,mono,control,deep,D4,purple,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
10,V107,DP3,100,4,poly,disease,deep,D1,purple,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
11,V81,D6,102,1,mono,disease,deep,D6,pink,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
11,V81,D6,102,2,mono,disease,deep,D6,yellow,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
11,V69,MP4,103,1,poly,control,mid,M3,pink,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
11,V69,MP4,103,2,poly,control,mid,M7,yellow,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
11,V95,DP4,107,2,poly,control,deep,D8,yellow,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
11,V95,DP4,107,3,poly,control,deep,D1,blue,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
11,V95,DP4,108,2,poly,disease,deep,D8,yellow,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
11,V81,D6,109,1,mono,control,deep,D6,pink,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
11,V81,D6,109,2,mono,control,deep,D6,yellow,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
12,V1,S1,112,1,mono,control,shallow,S1,pink,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
12,V1,S1,116,4,mono,disease,shallow,S1,purple,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
12,V27,SP4,118,3,poly,disease,shallow,S12,blue,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
9,V39,M4,89,1,mono,control,mid,M4,pink,1,1,2.5,2.5,0,0,0,0,0,NA,NA,NA,NA,NA
10,V87,D10,92,1,mono,control,deep,D10,pink,1,1,7,7,0,0,0,0,0,NA,NA,NA,NA,NA
