bin.id,paired.com.id.initial,paired.com.id.final,vase.id,loc.id,diversity.treatment,disease.treatment,depth,family.id,color,obs.sn.initial,exp.sn.initial,obs.sn.1month,exp.sn.1month,obs.sn.2month,exp.sn.2month,mono.viable?
3,V55,MP1,25,1,poly,disease,mid,M11,pink,1,1.68,1,1.83,1,1.79,0
4,V63,MP5,34,4,poly,disease,mid,M11,purple,1,1.68,1,1.83,1,1.79,0
3,V71,MP2,23,3,poly,disease,mid,M12,blue,1,2,1,2.5,0,3,1
3,V55,MP1,25,2,poly,disease,mid,M12,yellow,1,2,2,2.5,2,3,1
4,V59,MP3,36,4,poly,disease,mid,M12,purple,2,2,3,2.5,4,3,1
11,V69,MP4,106,4,poly,disease,mid,M12,purple,2,2,2,2.5,2,3,1
3,V55,MP1,25,4,poly,disease,mid,M3,purple,1,1.25,1,1.25,1,1,1
4,V59,MP3,36,2,poly,disease,mid,M3,yellow,2,1.25,3,1.25,3,1,1
11,V69,MP4,106,1,poly,disease,mid,M3,pink,1,1.25,1,1.25,0,1,1
3,V55,MP1,25,3,poly,disease,mid,M4,blue,2,2.5,2,2.5,3,2.5,1
4,V63,MP5,34,3,poly,disease,mid,M4,blue,1,2.5,1,2.5,1,2.5,1
3,V71,MP2,23,4,poly,disease,mid,M6,purple,1,1.75,1,2,2,2,1
11,V69,MP4,106,2,poly,disease,mid,M7,yellow,2,1,2,1.5,2,1,1
3,V71,MP2,23,1,poly,disease,mid,M9,pink,1,2.5,1,3,1,3,1
11,V69,MP4,106,3,poly,disease,mid,M9,blue,3,2.5,3,3,3,3,NA
8,V23,SP3,72,1,poly,disease,shallow,S1,pink,1,1,1,1,1,0,1
12,V27,SP4,118,4,poly,disease,shallow,S1,purple,1,1,1,1,1,0,1
8,V21,SP2,76,2,poly,disease,shallow,S10,yellow,1,1.68,1,1.83,0,1.79,0
8,V21,SP2,76,3,poly,disease,shallow,S11,blue,3,1,4,1,4,1,1
1,V25,SP1,9,1,poly,disease,shallow,S12,pink,2,3,2,3,3,3.5,1
8,V23,SP3,72,4,poly,disease,shallow,S3,purple,2,2,2,2.25,4,2.25,1
12,V27,SP4,118,2,poly,disease,shallow,S4,yellow,5,1.68,6,1.83,7,1.79,0
8,V21,SP2,76,4,poly,disease,shallow,S5,purple,1,1.68,1,1.83,1,1.79,0
1,V25,SP1,9,3,poly,disease,shallow,S6,blue,1,1.5,1,2.5,1,3,1
8,V21,SP2,76,1,poly,disease,shallow,S6,pink,1,1.5,1,2.5,1,3,1
12,V27,SP4,118,1,poly,disease,shallow,S6,pink,1,1.5,1,2.5,1,3,1
