bin.id,paired.com.id.initial,paired.com.id.final,vase.id,loc.id,diversity.treatment,disease.treatment,depth,family.id,color,alive,shoot.no,total.length.cm,mono.viable?,Shoot.Paired.exact?,two.shoots.paired,Vase.Paired.Exact?,Vase.Paired.Initial
10,V107,DP3,100,1,poly,disease,deep,D4,pink,1,1,45.5,1,1,1,1,1
10,V107,DP3,100,2,poly,disease,deep,D10,yellow,1,3,125,1,1,1,1,1
10,V107,DP3,100,3,poly,disease,deep,D3,blue,1,3,111.5,1,1,1,1,1
10,V107,DP3,100,4,poly,disease,deep,NA,purple,0,0,0,NA,NA,1,1,1
11,V95,DP4,107,1,poly,control,deep,D3,pink,1,3,182.5,1,1,1,0,1
11,V95,DP4,107,2,poly,control,deep,NA,yellow,0,0,0,NA,NA,1,0,1
11,V95,DP4,107,3,poly,control,deep,NA,blue,0,0,0,NA,NA,1,0,1
11,V95,DP4,107,4,poly,control,deep,D6,purple,1,1,21.5,1,1,1,0,1
11,V95,DP4,108,1,poly,disease,deep,D3,pink,1,3,213,1,1,1,0,1
11,V95,DP4,108,2,poly,disease,deep,NA,yellow,0,0,0,NA,NA,1,0,1
11,V95,DP4,108,3,poly,disease,deep,D1,blue,1,1,14,0,0,1,0,1
11,V95,DP4,108,4,poly,disease,deep,D6,purple,1,2,93,1,1,1,0,1
1,V97,DP5,8,1,poly,control,deep,D2,pink,1,1,9.5,0,0,1,0,0
1,V97,DP5,8,2,poly,control,deep,NA,yellow,0,0,0,NA,NA,1,0,0
1,V97,DP5,8,3,poly,control,deep,D4,blue,1,3,50,1,1,1,0,0
1,V97,DP5,8,4,poly,control,deep,D11,purple,1,1,9.5,1,1,1,0,0
3,V101,DP5,21,1,poly,disease,deep,D11,pink,1,1,23,1,1,1,0,0
3,V101,DP5,21,2,poly,disease,deep,D9,yellow,1,1,9,0,0,1,0,0
3,V101,DP5,21,3,poly,disease,deep,D4,blue,1,2,73.5,1,1,1,0,0
3,V101,DP5,21,4,poly,disease,deep,D10,purple,1,3,149,1,0,1,0,0
3,V55,MP1,25,1,poly,control,mid,M11,pink,1,1,30,0,0,1,0,1
3,V55,MP1,25,2,poly,control,mid,M12,yellow,1,1,47,1,1,1,0,1
3,V55,MP1,25,3,poly,control,mid,M4,blue,1,2,84,1,0,1,0,1
3,V55,MP1,25,4,poly,control,mid,M3,purple,1,1,35,1,1,1,0,1
3,V55,MP1,29,1,poly,disease,mid,NA,pink,0,0,0,NA,NA,1,0,1
3,V55,MP1,29,2,poly,disease,mid,M12,yellow,1,2,94.5,1,1,1,0,1
3,V55,MP1,29,3,poly,disease,mid,NA,blue,0,0,0,NA,NA,1,0,1
3,V55,MP1,29,4,poly,disease,mid,M3,purple,1,4,235.5,1,1,1,0,1
3,V71,MP2,22,1,poly,control,mid,M9,pink,1,4,275,1,1,1,0,1
3,V71,MP2,22,2,poly,control,mid,NA,yellow,0,0,0,NA,NA,1,0,1
3,V71,MP2,22,3,poly,control,mid,M12,blue,1,1,36,1,1,1,0,1
3,V71,MP2,22,4,poly,control,mid,M6,purple,1,3,201,1,1,1,0,1
3,V71,MP2,23,1,poly,disease,mid,M9,pink,1,1,65.5,1,1,1,0,1
3,V71,MP2,23,2,poly,disease,mid,M10,yellow,1,1,70,1,0,1,0,1
3,V71,MP2,23,3,poly,disease,mid,M12,blue,1,1,8,1,1,1,0,1
3,V71,MP2,23,4,poly,disease,mid,M6,purple,1,1,63,1,1,1,0,1
4,V59,MP3,35,1,poly,control,mid,M6,pink,1,1,21,1,0,1,0,1
4,V59,MP3,35,2,poly,control,mid,M3,yellow,1,1,7,1,1,1,0,1
4,V59,MP3,35,3,poly,control,mid,M4,blue,1,1,12.5,1,0,1,0,1
4,V59,MP3,35,4,poly,control,mid,M12,purple,1,1,90.5,1,1,1,0,1
4,V59,MP3,36,1,poly,disease,mid,NA,pink,0,0,0,NA,NA,1,0,1
4,V59,MP3,36,2,poly,disease,mid,M3,yellow,1,2,137.5,1,1,1,0,1
4,V59,MP3,36,3,poly,disease,mid,NA,blue,0,0,0,NA,NA,1,0,1
4,V59,MP3,36,4,poly,disease,mid,M12,purple,1,2,84,1,1,1,0,1
11,V69,MP4,103,1,poly,control,mid,NA,pink,0,0,0,NA,NA,0,0,1
11,V69,MP4,103,2,poly,control,mid,NA,yellow,0,0,0,NA,NA,0,0,1
11,V69,MP4,103,3,poly,control,mid,M9,blue,1,1,30.5,1,0,0,0,1
11,V69,MP4,103,4,poly,control,mid,M12,purple,1,2,73,1,1,0,0,1
11,V69,MP4,106,1,poly,disease,mid,M3,pink,1,3,122,1,0,0,0,1
11,V69,MP4,106,2,poly,disease,mid,M7,yellow,1,3,145.5,1,0,0,0,1
11,V69,MP4,106,3,poly,disease,mid,NA,blue,0,0,0,NA,NA,0,0,1
11,V69,MP4,106,4,poly,disease,mid,M12,purple,1,2,70,1,1,0,0,1
1,V61,MP5,2,1,poly,control,mid,NA,pink,0,0,0,NA,NA,0,0,0
1,V61,MP5,2,2,poly,control,mid,M8,yellow,1,2,87,0,0,0,0,0
1,V61,MP5,2,3,poly,control,mid,M7,blue,1,3,170,1,0,0,0,0
1,V61,MP5,2,4,poly,control,mid,M3,purple,1,1,36,1,0,0,0,0
4,V63,MP5,34,1,poly,disease,mid,NA,pink,0,0,0,NA,NA,0,0,0
4,V63,MP5,34,2,poly,disease,mid,M6,yellow,1,1,3,1,0,0,0,0
4,V63,MP5,34,3,poly,disease,mid,M4,blue,1,1,49,1,0,0,0,0
4,V63,MP5,34,4,poly,disease,mid,M11,purple,1,1,32.5,0,0,0,0,0
5,V125,MIX1,47,1,poly,disease,mix,NA,pink,0,0,0,NA,NA,0,0,1
5,V125,MIX1,47,2,poly,disease,mix,NA,yellow,0,0,0,NA,NA,0,0,1
5,V125,MIX1,47,3,poly,disease,mix,S11,blue,1,1,4,1,1,0,0,1
5,V125,MIX1,47,4,poly,disease,mix,D10,purple,1,2,93,1,0,0,0,1
5,V125,MIX1,49,1,poly,control,mix,D2,pink,1,3,128,0,0,0,0,1
5,V125,MIX1,49,2,poly,control,mix,M6,yellow,1,1,10.5,1,0,0,0,1
5,V125,MIX1,49,3,poly,control,mix,S11,blue,1,2,106.5,1,1,0,0,1
5,V125,MIX1,49,4,poly,control,mix,NA,purple,0,0,0,NA,NA,0,0,1
4,V113,MIX2,37,1,poly,disease,mix,S6,pink,1,3,123,1,0,0,0,0
4,V113,MIX2,37,2,poly,disease,mix,M12,yellow,1,2,88,1,0,0,0,0
4,V113,MIX2,37,3,poly,disease,mix,D6,blue,1,2,85,1,0,0,0,0
4,V113,MIX2,37,4,poly,disease,mix,NA,purple,0,0,0,NA,NA,0,0,0
5,V121,MIX2,43,1,poly,control,mix,S1,pink,1,1,39.5,1,0,0,0,0
5,V121,MIX2,43,2,poly,control,mix,D2,yellow,1,2,138,0,0,0,0,0
5,V121,MIX2,43,3,poly,control,mix,D9,blue,1,1,58,0,0,0,0,0
5,V121,MIX2,43,4,poly,control,mix,M10,purple,1,2,83.5,1,0,0,0,0
1,V25,SP1,6,1,poly,control,shallow,S12,pink,1,2,71.5,1,1,1,0,1
1,V25,SP1,6,2,poly,control,shallow,S3,yellow,1,1,42.5,1,0,1,0,1
1,V25,SP1,6,3,poly,control,shallow,S6,blue,1,1,22.5,1,1,1,0,1
1,V25,SP1,6,4,poly,control,shallow,NA,purple,0,0,0,NA,NA,1,0,1
1,V25,SP1,9,1,poly,disease,shallow,S12,pink,1,2,94.5,1,1,1,0,1
1,V25,SP1,9,2,poly,disease,shallow,NA,yellow,0,0,0,NA,NA,1,0,1
1,V25,SP1,9,3,poly,disease,shallow,S6,blue,1,1,46.5,1,1,1,0,1
1,V25,SP1,9,4,poly,disease,shallow,NA,purple,0,0,0,NA,NA,1,0,1
8,V21,SP2,76,1,poly,disease,shallow,S6,pink,1,1,33,1,1,1,0,1
8,V21,SP2,76,2,poly,disease,shallow,S10,yellow,1,1,8.5,0,1,1,0,1
8,V21,SP2,76,3,poly,disease,shallow,S11,blue,1,3,206.5,1,1,1,0,1
8,V21,SP2,76,4,poly,disease,shallow,S5,purple,1,1,44,0,0,1,0,1
8,V21,SP2,80,1,poly,control,shallow,S6,pink,1,2,95.5,1,1,1,0,1
8,V21,SP2,80,2,poly,control,shallow,S10,yellow,1,2,104,0,1,1,0,1
8,V21,SP2,80,3,poly,control,shallow,S11,blue,1,3,206.5,1,1,1,0,1
8,V21,SP2,80,4,poly,control,shallow,NA,purple,0,0,0,NA,NA,1,0,1
8,V23,SP3,71,1,poly,control,shallow,S1,pink,1,1,41,1,1,1,0,1
8,V23,SP3,71,2,poly,control,shallow,S5,yellow,1,1,56,0,0,1,0,1
8,V23,SP3,71,3,poly,control,shallow,S11,blue,1,3,257,1,0,1,0,1
8,V23,SP3,71,4,poly,control,shallow,S3,purple,1,2,124.5,1,1,1,0,1
8,V23,SP3,72,1,poly,disease,shallow,S1,pink,1,1,62,1,1,1,0,1
8,V23,SP3,72,2,poly,disease,shallow,NA,yellow,0,0,0,NA,NA,1,0,1
8,V23,SP3,72,3,poly,disease,shallow,NA,blue,0,0,0,NA,NA,1,0,1
8,V23,SP3,72,4,poly,disease,shallow,S3,purple,1,2,125,1,1,1,0,1
6,V33,SP4,52,1,poly,control,shallow,S12,pink,1,1,6.5,1,0,0,0,0
6,V33,SP4,52,2,poly,control,shallow,S1,yellow,1,1,27.5,1,1,0,0,0
6,V33,SP4,52,3,poly,control,shallow,NA,blue,0,0,0,NA,NA,0,0,0
6,V33,SP4,52,4,poly,control,shallow,S5,purple,1,1,24.5,0,0,0,0,0
12,V27,SP4,118,1,poly,disease,shallow,S6,pink,1,1,48,1,0,0,0,0
12,V27,SP4,118,2,poly,disease,shallow,S4,yellow,1,5,184,0,0,0,0,0
12,V27,SP4,118,3,poly,disease,shallow,NA,blue,0,0,0,NA,NA,0,0,0
12,V27,SP4,118,4,poly,disease,shallow,S1,purple,1,1,49,1,1,0,0,0
10,V87,D10,96,1,mono,disease,deep,D10,pink,1,1,15,NA,NA,NA,NA,NA
10,V87,D10,96,2,mono,disease,deep,D10,yellow,0,0,0,NA,NA,NA,NA,NA
10,V87,D10,96,3,mono,disease,deep,D10,blue,1,1,28.5,NA,NA,NA,NA,NA
10,V87,D10,96,4,mono,disease,deep,D10,purple,0,0,0,NA,NA,NA,NA,NA
10,V87,D10,92,1,mono,control,deep,D10,pink,1,1,7,NA,NA,NA,NA,NA
10,V87,D10,92,2,mono,control,deep,D10,yellow,1,1,34,NA,NA,NA,NA,NA
10,V87,D10,92,3,mono,control,deep,D10,blue,1,5,256.5,NA,NA,NA,NA,NA
10,V87,D10,92,4,mono,control,deep,D10,purple,1,3,153,NA,NA,NA,NA,NA
5,V89,D11,42,1,mono,control,deep,D11,pink,0,0,0,NA,NA,NA,NA,NA
5,V89,D11,42,2,mono,control,deep,D11,yellow,1,1,12,NA,NA,NA,NA,NA
5,V89,D11,42,3,mono,control,deep,D11,blue,0,0,0,NA,NA,NA,NA,NA
5,V89,D11,42,4,mono,control,deep,D11,purple,1,1,19.5,NA,NA,NA,NA,NA
5,V89,D11,44,1,mono,disease,deep,D11,pink,1,1,26.5,NA,NA,NA,NA,NA
5,V89,D11,44,2,mono,disease,deep,D11,yellow,1,3,107,NA,NA,NA,NA,NA
5,V89,D11,44,3,mono,disease,deep,D11,blue,1,1,56.5,NA,NA,NA,NA,NA
5,V89,D11,44,4,mono,disease,deep,D11,purple,0,0,0,NA,NA,NA,NA,NA
6,V77,D3,56,1,mono,disease,deep,D3,pink,1,2,94.5,NA,NA,NA,NA,NA
6,V77,D3,56,2,mono,disease,deep,D3,yellow,1,1,13.5,NA,NA,NA,NA,NA
6,V77,D3,56,3,mono,disease,deep,D3,blue,1,1,41,NA,NA,NA,NA,NA
6,V77,D3,56,4,mono,disease,deep,D3,purple,1,1,9,NA,NA,NA,NA,NA
6,V77,D3,54,1,mono,control,deep,D3,pink,0,0,0,NA,NA,NA,NA,NA
6,V77,D3,54,2,mono,control,deep,D3,yellow,1,1,12,NA,NA,NA,NA,NA
6,V77,D3,54,3,mono,control,deep,D3,blue,1,1,8,NA,NA,NA,NA,NA
6,V77,D3,54,4,mono,control,deep,D3,purple,0,0,0,NA,NA,NA,NA,NA
10,V79,D4,97,1,mono,disease,deep,D4,pink,1,1,36,NA,NA,NA,NA,NA
10,V79,D4,97,2,mono,disease,deep,D4,yellow,1,1,22,NA,NA,NA,NA,NA
10,V79,D4,97,3,mono,disease,deep,D4,blue,0,0,0,NA,NA,NA,NA,NA
10,V79,D4,97,4,mono,disease,deep,D4,purple,0,0,0,NA,NA,NA,NA,NA
10,V79,D4,93,1,mono,control,deep,D4,pink,1,5,280,NA,NA,NA,NA,NA
10,V79,D4,93,2,mono,control,deep,D4,yellow,1,2,73.5,NA,NA,NA,NA,NA
10,V79,D4,93,3,mono,control,deep,D4,blue,1,1,17.5,NA,NA,NA,NA,NA
10,V79,D4,93,4,mono,control,deep,D4,purple,1,3,67.5,NA,NA,NA,NA,NA
11,V81,D6,102,1,mono,control,deep,D6,pink,0,0,0,NA,NA,NA,NA,NA
11,V81,D6,102,2,mono,control,deep,D6,yellow,0,0,0,NA,NA,NA,NA,NA
11,V81,D6,102,3,mono,control,deep,D6,blue,1,1,22,NA,NA,NA,NA,NA
11,V81,D6,102,4,mono,control,deep,D6,purple,1,1,21.5,NA,NA,NA,NA,NA
11,V81,D6,109,1,mono,disease,deep,D6,pink,0,0,0,NA,NA,NA,NA,NA
11,V81,D6,109,2,mono,disease,deep,D6,yellow,0,0,0,NA,NA,NA,NA,NA
11,V81,D6,109,3,mono,disease,deep,D6,blue,1,4,149,NA,NA,NA,NA,NA
11,V81,D6,109,4,mono,disease,deep,D6,purple,1,1,55.5,NA,NA,NA,NA,NA
8,V83,D8,79,1,mono,control,deep,D8,pink,1,2,114.5,NA,NA,NA,NA,NA
8,V83,D8,79,2,mono,control,deep,D8,yellow,1,3,221,NA,NA,NA,NA,NA
8,V83,D8,79,3,mono,control,deep,D8,blue,0,0,0,NA,NA,NA,NA,NA
8,V83,D8,79,4,mono,control,deep,D8,purple,1,1,23,NA,NA,NA,NA,NA
8,V83,D8,75,1,mono,disease,deep,D8,pink,1,2,131.5,NA,NA,NA,NA,NA
8,V83,D8,75,2,mono,disease,deep,D8,yellow,1,1,59,NA,NA,NA,NA,NA
8,V83,D8,75,3,mono,disease,deep,D8,blue,1,1,31,NA,NA,NA,NA,NA
8,V83,D8,75,4,mono,disease,deep,D8,purple,0,0,0,NA,NA,NA,NA,NA
3,V49,M10,26,1,mono,control,mid,M10,pink,1,3,158.5,NA,NA,NA,NA,NA
3,V49,M10,26,2,mono,control,mid,M10,yellow,0,0,0,NA,NA,NA,NA,NA
3,V49,M10,26,3,mono,control,mid,M10,blue,1,2,92,NA,NA,NA,NA,NA
3,V49,M10,26,4,mono,control,mid,M10,purple,1,1,37,NA,NA,NA,NA,NA
3,V49,M10,24,1,mono,disease,mid,M10,pink,0,0,0,NA,NA,NA,NA,NA
3,V49,M10,24,2,mono,disease,mid,M10,yellow,1,2,92.5,NA,NA,NA,NA,NA
3,V49,M10,24,3,mono,disease,mid,M10,blue,1,3,121,NA,NA,NA,NA,NA
3,V49,M10,24,4,mono,disease,mid,M10,purple,1,2,122.5,NA,NA,NA,NA,NA
5,V53,M12,45,1,mono,control,mid,M12,pink,0,0,0,NA,NA,NA,NA,NA
5,V53,M12,45,2,mono,control,mid,M12,yellow,1,2,133,NA,NA,NA,NA,NA
5,V53,M12,45,3,mono,control,mid,M12,blue,1,2,57,NA,NA,NA,NA,NA
5,V53,M12,45,4,mono,control,mid,M12,purple,0,0,0,NA,NA,NA,NA,NA
5,V53,M12,46,1,mono,disease,mid,M12,pink,1,1,31.5,NA,NA,NA,NA,NA
5,V53,M12,46,2,mono,disease,mid,M12,yellow,1,1,58.5,NA,NA,NA,NA,NA
5,V53,M12,46,3,mono,disease,mid,M12,blue,1,1,50,NA,NA,NA,NA,NA
5,V53,M12,46,4,mono,disease,mid,M12,purple,1,2,89,NA,NA,NA,NA,NA
4,V37,M3,38,1,mono,control,mid,M3,pink,0,0,0,NA,NA,NA,NA,NA
4,V37,M3,38,2,mono,control,mid,M3,yellow,1,1,28,NA,NA,NA,NA,NA
4,V37,M3,38,3,mono,control,mid,M3,blue,1,2,38.5,NA,NA,NA,NA,NA
4,V37,M3,38,4,mono,control,mid,M3,purple,1,2,182,NA,NA,NA,NA,NA
4,V37,M3,33,1,mono,disease,mid,M3,pink,1,1,44.5,NA,NA,NA,NA,NA
4,V37,M3,33,2,mono,disease,mid,M3,yellow,1,1,38,NA,NA,NA,NA,NA
4,V37,M3,33,3,mono,disease,mid,M3,blue,1,1,12,NA,NA,NA,NA,NA
4,V37,M3,33,4,mono,disease,mid,M3,purple,1,2,106,NA,NA,NA,NA,NA
9,V39,M4,82,1,mono,control,mid,M4,pink,1,3,215,NA,NA,NA,NA,NA
9,V39,M4,82,2,mono,control,mid,M4,yellow,0,0,0,NA,NA,NA,NA,NA
9,V39,M4,82,3,mono,control,mid,M4,blue,1,2,157,NA,NA,NA,NA,NA
9,V39,M4,82,4,mono,control,mid,M4,purple,0,0,0,NA,NA,NA,NA,NA
9,V39,M4,89,1,mono,disease,mid,M4,pink,1,1,2.5,NA,NA,NA,NA,NA
9,V39,M4,89,2,mono,disease,mid,M4,yellow,1,1,6.5,NA,NA,NA,NA,NA
9,V39,M4,89,3,mono,disease,mid,M4,blue,0,0,0,NA,NA,NA,NA,NA
9,V39,M4,89,4,mono,disease,mid,M4,purple,1,4,234,NA,NA,NA,NA,NA
7,V41,M6,66,1,mono,disease,mid,M6,pink,1,1,42.5,NA,NA,NA,NA,NA
7,V41,M6,66,2,mono,disease,mid,M6,yellow,1,1,19,NA,NA,NA,NA,NA
7,V41,M6,66,3,mono,disease,mid,M6,blue,1,1,38,NA,NA,NA,NA,NA
7,V41,M6,66,4,mono,disease,mid,M6,purple,1,4,191.5,NA,NA,NA,NA,NA
7,V41,M6,65,1,mono,control,mid,M6,pink,0,0,0,NA,NA,NA,NA,NA
7,V41,M6,65,2,mono,control,mid,M6,yellow,1,4,286,NA,NA,NA,NA,NA
7,V41,M6,65,3,mono,control,mid,M6,blue,0,0,0,NA,NA,NA,NA,NA
7,V41,M6,65,4,mono,control,mid,M6,purple,1,1,3,NA,NA,NA,NA,NA
7,V43,M7,69,1,mono,control,mid,M7,pink,1,1,21,NA,NA,NA,NA,NA
7,V43,M7,69,2,mono,control,mid,M7,yellow,1,3,135.5,NA,NA,NA,NA,NA
7,V43,M7,69,3,mono,control,mid,M7,blue,0,0,0,NA,NA,NA,NA,NA
7,V43,M7,69,4,mono,control,mid,M7,purple,1,1,10,NA,NA,NA,NA,NA
7,V43,M7,61,1,mono,disease,mid,M7,pink,1,1,73,NA,NA,NA,NA,NA
7,V43,M7,61,2,mono,disease,mid,M7,yellow,0,0,0,NA,NA,NA,NA,NA
7,V43,M7,61,3,mono,disease,mid,M7,blue,0,0,0,NA,NA,NA,NA,NA
7,V43,M7,61,4,mono,disease,mid,M7,purple,1,1,63.5,NA,NA,NA,NA,NA
2,V47,M9,11,1,mono,disease,mid,M9,pink,1,3,244,NA,NA,NA,NA,NA
2,V47,M9,11,2,mono,disease,mid,M9,yellow,1,2,118,NA,NA,NA,NA,NA
2,V47,M9,11,3,mono,disease,mid,M9,blue,0,0,0,NA,NA,NA,NA,NA
2,V47,M9,11,4,mono,disease,mid,M9,purple,0,0,0,NA,NA,NA,NA,NA
2,V47,M9,14,1,mono,control,mid,M9,pink,0,0,0,NA,NA,NA,NA,NA
2,V47,M9,14,2,mono,control,mid,M9,yellow,1,1,75,NA,NA,NA,NA,NA
2,V47,M9,14,3,mono,control,mid,M9,blue,1,2,134.5,NA,NA,NA,NA,NA
2,V47,M9,14,4,mono,control,mid,M9,purple,0,0,0,NA,NA,NA,NA,NA
12,V1,S1,116,1,mono,control,shallow,S1,pink,1,1,32,NA,NA,NA,NA,NA
12,V1,S1,116,2,mono,control,shallow,S1,yellow,1,1,41.5,NA,NA,NA,NA,NA
12,V1,S1,116,3,mono,control,shallow,S1,blue,1,1,24,NA,NA,NA,NA,NA
12,V1,S1,116,4,mono,control,shallow,S1,purple,1,1,41.5,NA,NA,NA,NA,NA
12,V1,S1,112,1,mono,disease,shallow,S1,pink,0,0,0,NA,NA,NA,NA,NA
12,V1,S1,112,2,mono,disease,shallow,S1,yellow,1,1,13.5,NA,NA,NA,NA,NA
12,V1,S1,112,3,mono,disease,shallow,S1,blue,1,3,103.5,NA,NA,NA,NA,NA
12,V1,S1,112,4,mono,disease,shallow,S1,purple,1,3,187.5,NA,NA,NA,NA,NA
8,V15,S11,73,1,mono,control,shallow,S11,pink,1,3,146,NA,NA,NA,NA,NA
8,V15,S11,73,2,mono,control,shallow,S11,yellow,0,0,0,NA,NA,NA,NA,NA
8,V15,S11,73,3,mono,control,shallow,S11,blue,1,2,135.5,NA,NA,NA,NA,NA
8,V15,S11,73,4,mono,control,shallow,S11,purple,0,0,0,NA,NA,NA,NA,NA
8,V15,S11,74,1,mono,disease,shallow,S11,pink,1,1,43,NA,NA,NA,NA,NA
8,V15,S11,74,2,mono,disease,shallow,S11,yellow,0,0,0,NA,NA,NA,NA,NA
8,V15,S11,74,3,mono,disease,shallow,S11,blue,1,1,24,NA,NA,NA,NA,NA
8,V15,S11,74,4,mono,disease,shallow,S11,purple,0,0,0,NA,NA,NA,NA,NA
2,V17,S12,18,1,mono,control,shallow,S12,pink,1,1,20,NA,NA,NA,NA,NA
2,V17,S12,18,2,mono,control,shallow,S12,yellow,1,2,90.5,NA,NA,NA,NA,NA
2,V17,S12,18,3,mono,control,shallow,S12,blue,1,1,53,NA,NA,NA,NA,NA
2,V17,S12,18,4,mono,control,shallow,S12,purple,0,0,0,NA,NA,NA,NA,NA
2,V17,S12,19,1,mono,disease,shallow,S12,pink,0,0,0,NA,NA,NA,NA,NA
2,V17,S12,19,2,mono,disease,shallow,S12,yellow,1,4,199.5,NA,NA,NA,NA,NA
2,V17,S12,19,3,mono,disease,shallow,S12,blue,0,0,0,NA,NA,NA,NA,NA
2,V17,S12,19,4,mono,disease,shallow,S12,purple,1,2,80,NA,NA,NA,NA,NA
9,V5,S3,90,1,mono,control,shallow,S3,pink,1,1,22,NA,NA,NA,NA,NA
9,V5,S3,90,2,mono,control,shallow,S3,yellow,1,3,146,NA,NA,NA,NA,NA
9,V5,S3,90,3,mono,control,shallow,S3,blue,0,0,0,NA,NA,NA,NA,NA
9,V5,S3,90,4,mono,control,shallow,S3,purple,1,1,13,NA,NA,NA,NA,NA
9,V5,S3,85,1,mono,disease,shallow,S3,pink,1,2,81.5,NA,NA,NA,NA,NA
9,V5,S3,85,2,mono,disease,shallow,S3,yellow,1,1,32.5,NA,NA,NA,NA,NA
9,V5,S3,85,3,mono,disease,shallow,S3,blue,1,1,8,NA,NA,NA,NA,NA
9,V5,S3,85,4,mono,disease,shallow,S3,purple,1,4,225,NA,NA,NA,NA,NA
4,V11,S6,31,1,mono,control,shallow,S6,pink,1,1,116,NA,NA,NA,NA,NA
4,V11,S6,31,2,mono,control,shallow,S6,yellow,0,0,0,NA,NA,NA,NA,NA
4,V11,S6,31,3,mono,control,shallow,S6,blue,0,0,0,NA,NA,NA,NA,NA
4,V11,S6,31,4,mono,control,shallow,S6,purple,1,1,51.5,NA,NA,NA,NA,NA
4,V11,S6,32,1,mono,disease,shallow,S6,pink,0,0,0,NA,NA,NA,NA,NA
4,V11,S6,32,2,mono,disease,shallow,S6,yellow,1,1,68,NA,NA,NA,NA,NA
4,V11,S6,32,3,mono,disease,shallow,S6,blue,0,0,0,NA,NA,NA,NA,NA
4,V11,S6,32,4,mono,disease,shallow,S6,purple,1,2,118.5,NA,NA,NA,NA,NA
