day,month,year,bin.id,paired.com.id.initial,paired.com.id.final,vase.id,loc.id,diversity.treatment,disease.treatment,depth,family.id,clone.color,alive,no.shoots,root.length,ag.biomass,bg.biomass,shoot.id,shoot.length,sheath.length,inoculated,flw,leaf.id,outside.sheath,leaf.length,leaf.area,lesion.present,lesion.no,lesion.area,lesion.pc,broken.tip,tissue.sample
5,june,2018,1,V25,SP1,6,1,poly,control,shallow,S12,pink,1,9,30,1.49,1.071,3,17,6,NA,0,3,0,NA,NA,NA,NA,NA,NA,NA,0
5,june,2018,1,V25,SP1,6,1,poly,control,shallow,S12,pink,1,9,30,1.49,1.071,3,17,6,NA,0,4,1,NA,NA,NA,NA,NA,NA,NA,0
5,june,2018,1,V25,SP1,6,1,poly,control,shallow,S12,pink,1,9,30,1.49,1.071,4,25,7.5,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,0
5,june,2018,1,V25,SP1,6,1,poly,control,shallow,S12,pink,1,9,30,1.49,1.071,4,25,7.5,NA,0,2,0,NA,NA,NA,NA,NA,NA,NA,0
5,june,2018,1,V25,SP1,6,1,poly,control,shallow,S12,pink,1,9,30,1.49,1.071,4,25,7.5,NA,0,3,0,NA,NA,NA,NA,NA,NA,NA,0
5,june,2018,1,V25,SP1,6,1,poly,control,shallow,S12,pink,1,9,30,1.49,1.071,4,25,7.5,NA,0,4,1,NA,NA,NA,NA,NA,NA,NA,0
5,june,2018,1,V25,SP1,6,1,poly,control,shallow,S12,pink,1,9,30,1.49,1.071,5,4.5,1.5,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,0
5,june,2018,1,V25,SP1,6,1,poly,control,shallow,S12,pink,1,9,30,1.49,1.071,5,4.5,1.5,NA,0,2,0,NA,NA,NA,NA,NA,NA,NA,0
5,june,2018,1,V25,SP1,6,1,poly,control,shallow,S12,pink,1,9,30,1.49,1.071,6,12,3.5,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,0
5,june,2018,1,V25,SP1,6,1,poly,control,shallow,S12,pink,1,9,30,1.49,1.071,6,12,3.5,NA,0,2,0,NA,NA,NA,NA,NA,NA,NA,0
5,june,2018,1,V25,SP1,6,1,poly,control,shallow,S12,pink,1,9,30,1.49,1.071,7,37.5,11,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,0
5,june,2018,1,V25,SP1,6,1,poly,control,shallow,S12,pink,1,9,30,1.49,1.071,7,37.5,11,NA,0,2,0,NA,NA,NA,NA,NA,NA,NA,0
5,june,2018,1,V25,SP1,6,1,poly,control,shallow,S12,pink,1,9,30,1.49,1.071,7,37.5,11,NA,0,3,0,NA,NA,NA,NA,NA,NA,NA,0
5,june,2018,1,V25,SP1,6,1,poly,control,shallow,S12,pink,1,9,30,1.49,1.071,7,37.5,11,NA,0,4,0,NA,NA,NA,NA,NA,NA,NA,0
5,june,2018,1,V25,SP1,6,1,poly,control,shallow,S12,pink,1,9,30,1.49,1.071,7,37.5,11,NA,0,5,1,NA,NA,NA,NA,NA,NA,NA,0
5,june,2018,1,V25,SP1,6,1,poly,control,shallow,S12,pink,1,9,30,1.49,1.071,7,37.5,11,NA,0,6,1,NA,NA,NA,NA,NA,NA,NA,0
5,june,2018,1,V25,SP1,6,1,poly,control,shallow,S12,pink,1,9,30,1.49,1.071,8,4.5,1.5,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,0
