bin.id,paired.com.id.initial,paired.com.id.final,vase.id,loc.id,diversity.treatment,disease.treatment,depth,family.id,color,alive.24JAN,shoot.no.24JAN,total.length.24JAN,infected.shoot.length.24JAN,lesion.present.09MAR,alive.26MAR,shoot.no.26MAR,total.length.26MAR,infected.shoot.length.26MAR,lesion.present.26MAR,lesion.spread.T.26MAR,lesion.spread.B.26MAR,lesion.spread.26MAR,survival.1month,shoot.no.1month,total.length.1month,infected.shoot.length.1month,mono.viable?,Shoot.Paired.exact?,two.shoots.paired,Vase.Paired.Exact?,Vase.Paired.Initial
3,V55,MP1,25,2,poly,disease,mid,M12,yellow,1,1,47,47,1,1,2,54,35,1,3,2.5,5.5,0,1,7,-25.53191489,1,1,1,0,1
7,V41,M6,66,3,mono,disease,mid,M6,blue,1,1,38,38,1,1,1,28.5,28.5,1,0,0.5,0.5,0,0,-9.5,-25,NA,NA,NA,NA,NA
10,V79,D4,97,2,mono,control,deep,D4,yellow,1,1,22,22,0,1,1,16.5,16.5,0,NA,NA,NA,0,0,-5.5,-25,NA,NA,NA,NA,NA
10,V87,D10,92,4,mono,control,deep,D10,purple,1,3,153,71,0,1,2,73.5,54,0,NA,NA,NA,0,-1,-79.5,-23.94366197,NA,NA,NA,NA,NA
10,V107,DP3,91,3,poly,control,deep,D3,blue,1,2,88,69.5,0,1,2,72.5,53,0,NA,NA,NA,0,0,-15.5,-23.74100719,1,1,1,1,1
8,V83,D8,79,1,mono,control,deep,D8,pink,1,2,114.5,30,0,1,2,101,23,0,NA,NA,NA,0,0,-13.5,-23.33333333,NA,NA,NA,NA,NA
9,V5,S3,85,2,mono,disease,shallow,S3,yellow,1,1,32.5,32.5,1,1,1,25,25,1,15,4,19,0,0,-7.5,-23.07692308,NA,NA,NA,NA,NA
3,V49,M10,24,3,mono,control,mid,M10,blue,1,3,121,50.5,0,1,3,100,39,0,NA,NA,NA,0,0,-21,-22.77227723,NA,NA,NA,NA,NA
11,V81,D6,109,4,mono,control,deep,D6,purple,1,1,55.5,55.5,0,1,1,43,43,0,NA,NA,NA,0,0,-12.5,-22.52252252,NA,NA,NA,NA,NA
4,V63,MP5,34,3,poly,disease,mid,M4,blue,1,1,49,49,0,1,1,38,38,0,NA,NA,NA,0,0,-11,-22.44897959,1,0,0,0,0
8,V83,D8,79,2,mono,control,deep,D8,yellow,1,3,221,91.5,0,1,3,206,71,0,NA,NA,NA,0,0,-15,-22.40437158,NA,NA,NA,NA,NA
11,V69,MP4,106,3,poly,disease,mid,M9,blue,1,3,145.5,83.5,0,1,3,118,65,0,NA,NA,NA,0,0,-27.5,-22.15568862,NA,NA,0,0,1
10,V79,D4,93,4,mono,disease,deep,D4,purple,1,3,67.5,46,1,1,2,47.5,36,1,11,1,12,0,-1,-20,-21.73913043,NA,NA,NA,NA,NA
8,V21,SP2,76,3,poly,disease,shallow,S11,blue,1,3,206.5,121,1,1,4,192,95,1,7,3.5,10.5,0,1,-14.5,-21.48760331,1,1,1,0,1
11,V69,MP4,103,3,poly,control,mid,M9,blue,1,1,30.5,30.5,0,1,1,24,24,0,NA,NA,NA,0,0,-6.5,-21.31147541,1,0,0,0,1
4,V59,MP3,36,4,poly,disease,mid,M12,purple,1,2,84,54,1,1,3,85,43,1,5,3,8,0,1,1,-20.37037037,1,1,1,0,1
5,V125,MIX1,49,3,poly,control,mix,S11,blue,1,2,106.5,66,0,1,4,77,53,NA,NA,NA,NA,0,2,-29.5,-19.6969697,1,1,0,0,1
10,V107,DP3,91,1,poly,control,deep,D4,pink,1,2,74,56,0,1,1,45,45,0,NA,NA,NA,0,-1,-29,-19.64285714,1,1,1,1,1
8,V23,SP3,71,3,poly,control,shallow,S11,blue,1,3,257,101.5,0,1,4,184,82,0,NA,NA,NA,0,1,-73,-19.21182266,1,0,1,0,1
6,V77,D3,56,1,mono,control,deep,D3,pink,1,2,94.5,73,0,1,2,83,59,0,NA,NA,NA,0,0,-11.5,-19.17808219,NA,NA,NA,NA,NA
8,V15,S11,73,3,mono,control,shallow,S11,blue,1,2,135.5,97.5,0,1,3,128,79,0,NA,NA,NA,0,1,-7.5,-18.97435897,NA,NA,NA,NA,NA
6,V77,D3,54,3,mono,disease,deep,D3,blue,1,1,8,8,0,1,1,6.5,6.5,1,NA,NA,2,0,0,-1.5,-18.75,NA,NA,NA,NA,NA
12,V1,S1,116,1,mono,disease,shallow,S1,pink,1,1,32,32,0,1,1,26,26,1,1,1,2,0,0,-6,-18.75,NA,NA,NA,NA,NA
2,V47,M9,11,1,mono,disease,mid,M9,pink,1,3,244,113,1,1,3,221,93,1,8,2,10,0,0,-23,-17.69911504,NA,NA,NA,NA,NA
3,V71,MP2,22,4,poly,control,mid,M6,purple,1,3,201,91,0,1,2,115,75,0,NA,NA,NA,0,-1,-86,-17.58241758,1,1,1,0,1
9,V39,M4,82,3,mono,disease,mid,M4,blue,1,2,157,109.5,1,1,2,140,91,1,0.1,0,0.1,0,0,-17,-16.89497717,NA,NA,NA,NA,NA
10,V87,D10,92,3,mono,control,deep,D10,blue,1,5,256.5,85,0,1,5,242,71,0,NA,NA,NA,0,0,-14.5,-16.47058824,NA,NA,NA,NA,NA
4,V37,M3,38,4,mono,control,mid,M3,purple,1,2,182,110,0,1,5,282,92,0,NA,NA,NA,0,3,100,-16.36363636,NA,NA,NA,NA,NA
6,V33,SP4,52,2,poly,control,shallow,S1,yellow,1,1,27.5,27.5,0,1,1,23,23,0,NA,NA,NA,0,0,-4.5,-16.36363636,1,1,0,0,0
3,V71,MP2,22,1,poly,control,mid,M9,pink,1,4,275,111,0,1,4,255,93,0,NA,NA,NA,0,0,-20,-16.21621622,1,1,1,0,1
10,V79,D4,93,2,mono,disease,deep,D4,yellow,1,2,73.5,56,1,1,2,61,47,1,1,0.5,1.5,0,0,-12.5,-16.07142857,NA,NA,NA,NA,NA
8,V21,SP2,76,4,poly,disease,shallow,S5,purple,1,1,44,44,1,1,1,37,37,1,3,2,5,0,0,-7,-15.90909091,0,0,1,0,1
6,V91,DP2,51,3,poly,disease,deep,D8,blue,1,2,87.5,45,1,1,2,54,38,1,3,1,4,0,0,-33.5,-15.55555556,1,1,1,1,1
9,V39,M4,89,3,mono,control,mid,M4,blue,1,3,191,103,0,1,3,172,87,0,NA,NA,NA,0,0,-19,-15.53398058,NA,NA,NA,NA,NA
2,V17,S12,19,4,mono,disease,shallow,S12,purple,1,2,80,73,1,1,2,79,62,1,14,4,18,0,0,-1,-15.06849315,NA,NA,NA,NA,NA
4,V37,M3,33,1,mono,disease,mid,M3,pink,1,1,44.5,44.5,1,1,1,38,38,1,0,7,7,0,0,-6.5,-14.60674157,NA,NA,NA,NA,NA
4,V59,MP3,35,2,poly,control,mid,M3,yellow,1,1,7,7,0,1,1,6,6,0,NA,NA,NA,0,0,-1,-14.28571429,1,1,1,0,1
4,V37,M3,38,2,mono,control,mid,M3,yellow,1,1,28,28,0,1,1,24,24,0,NA,NA,NA,0,0,-4,-14.28571429,NA,NA,NA,NA,NA
5,V93,DP1,50,1,poly,disease,deep,D9,pink,1,2,82,66.5,0,1,3,84.5,57,1,NA,NA,1.5,0,1,2.5,-14.28571429,0,1,1,1,1
1,V61,MP5,2,3,poly,control,mid,M7,blue,1,3,170,99,0,1,3,148.5,85,0,NA,NA,NA,0,0,-21.5,-14.14141414,1,0,0,0,0
7,V41,M6,66,1,mono,disease,mid,M6,pink,1,1,42.5,42.5,1,1,1,36.5,36.5,1,7,2,9,0,0,-6,-14.11764706,NA,NA,NA,NA,NA
5,V53,M12,46,4,mono,control,mid,M12,purple,1,2,89,78,0,1,3,103,67,0,NA,NA,NA,0,1,14,-14.1025641,NA,NA,NA,NA,NA
9,V39,M4,82,1,mono,disease,mid,M4,pink,1,3,215,133,0,1,3,171.5,114.5,1,0.1,0,0.1,0,0,-43.5,-13.90977444,NA,NA,NA,NA,NA
7,V43,M7,69,2,mono,control,mid,M7,yellow,1,3,135.5,69.5,0,1,3,129,60,1,NA,NA,0.5,0,0,-6.5,-13.66906475,NA,NA,NA,NA,NA
3,V55,MP1,25,1,poly,disease,mid,M11,pink,1,1,30,30,1,1,1,26,26,1,3,2,5,0,0,-4,-13.33333333,0,0,1,0,1
3,V55,MP1,25,3,poly,disease,mid,M4,blue,1,2,84,70,1,1,2,80,61,1,2,5,7,0,0,-4,-12.85714286,1,0,1,0,1
5,V121,MIX2,43,3,poly,control,mix,D9,blue,1,1,58,58,0,1,1,51,51,0,NA,NA,NA,0,0,-7,-12.06896552,0,0,0,0,0
8,V21,SP2,80,2,poly,control,shallow,S10,yellow,1,2,104,83,0,1,2,92,73,0,NA,NA,NA,0,0,-12,-12.04819277,0,1,1,0,1
5,V53,M12,45,2,mono,disease,mid,M12,yellow,1,2,133,80.5,0,1,3,144,71,1,0.5,0.5,1,0,1,11,-11.80124224,NA,NA,NA,NA,NA
4,V113,MIX2,37,1,poly,disease,mix,S6,pink,1,3,123,74,1,1,3,123,66,1,0.5,0.5,1,0,0,0,-10.81081081,1,0,0,0,0
3,V49,M10,26,1,mono,disease,mid,M10,pink,1,3,158.5,97,1,1,3,145,87,1,2,2,4,0,0,-13.5,-10.30927835,NA,NA,NA,NA,NA
7,V43,M7,61,1,mono,disease,mid,M7,pink,1,1,73,73,1,1,1,65.5,65.5,1,2.5,2.5,5,0,0,-7.5,-10.2739726,NA,NA,NA,NA,NA
11,V81,D6,109,3,mono,control,deep,D6,blue,1,4,149,59,0,1,5,158.5,53,0,NA,NA,NA,0,1,9.5,-10.16949153,NA,NA,NA,NA,NA
1,V25,SP1,6,1,poly,control,shallow,S12,pink,1,2,71.5,58.5,0,1,3,85,53,0,NA,NA,NA,0,1,13.5,-9.401709402,1,1,1,0,1
6,V91,DP2,51,4,poly,disease,deep,D2,purple,1,1,51.5,51.5,1,1,2,61,47,1,7,3.5,10.5,0,1,9.5,-8.737864078,0,1,1,1,1
6,V91,DP2,58,4,poly,control,deep,D2,purple,1,2,144.5,92,0,1,3,145,84,0,NA,NA,NA,0,1,0.5,-8.695652174,0,1,1,1,1
5,V89,D11,42,2,mono,control,deep,D11,yellow,1,1,12,12,0,1,1,11,11,1,0.25,0.25,0.5,0,0,-1,-8.333333333,NA,NA,NA,NA,NA
8,V15,S11,74,3,mono,disease,shallow,S11,blue,1,1,24,24,0,1,1,22,22,1,0,0.5,0.5,0,0,-2,-8.333333333,NA,NA,NA,NA,NA
12,V27,SP4,118,4,poly,disease,shallow,S1,purple,1,1,49,49,1,1,1,45,45,1,7,2,9,0,0,-4,-8.163265306,1,1,0,0,0
9,V5,S3,85,1,mono,disease,shallow,S3,pink,1,2,81.5,69.5,1,1,3,90,64,1,0.5,1,1.5,0,1,8.5,-7.913669065,NA,NA,NA,NA,NA
9,V5,S3,90,4,mono,control,shallow,S3,purple,1,1,13,13,0,1,1,12,12,0,NA,NA,NA,0,0,-1,-7.692307692,NA,NA,NA,NA,NA
8,V21,SP2,76,1,poly,disease,shallow,S6,pink,1,1,33,33,1,1,1,30.5,30.5,1,3,3,6,0,0,-2.5,-7.575757576,1,1,1,0,1
11,V69,MP4,103,4,poly,control,mid,M12,purple,1,2,73,59.5,0,1,3,90,55,0,NA,NA,NA,0,1,17,-7.56302521,1,1,0,0,1
9,V5,S3,85,4,mono,disease,shallow,S3,purple,1,4,225,53,1,1,4,165,49,1,0.5,0.5,1,0,0,-60,-7.547169811,NA,NA,NA,NA,NA
8,V21,SP2,80,3,poly,control,shallow,S11,blue,1,3,206.5,121.5,0,1,3,199,113.5,0,NA,NA,NA,0,0,-7.5,-6.58436214,1,1,1,0,1
12,V27,SP4,118,2,poly,disease,shallow,S4,yellow,1,5,184,62,1,1,6,187.5,58,1,0.5,0.5,1,0,1,3.5,-6.451612903,0,0,0,0,0
9,V5,S3,85,3,mono,disease,shallow,S3,blue,1,1,8,8,1,1,1,7.5,7.5,1,2.5,3.5,6,0,0,-0.5,-6.25,NA,NA,NA,NA,NA
1,V97,DP5,8,3,poly,disease,deep,D4,blue,1,3,50,34,1,1,2,39,32,NA,NA,NA,NA,0,-1,-11,-5.882352941,1,1,1,0,0
8,V15,S11,74,1,mono,disease,shallow,S11,pink,1,1,43,43,0,1,1,40.5,40.5,0,NA,NA,NA,0,0,-2.5,-5.813953488,NA,NA,NA,NA,NA
10,V87,D10,96,3,mono,disease,deep,D10,blue,1,1,28.5,28.5,1,1,1,27,27,1,2,3,5,0,0,-1.5,-5.263157895,NA,NA,NA,NA,NA
12,V27,SP4,118,1,poly,disease,shallow,S6,pink,1,1,48,48,1,1,1,45.5,45.5,1,0.5,0.5,1,0,0,-2.5,-5.208333333,1,0,0,0,0
2,V47,M9,11,2,mono,disease,mid,M9,yellow,1,2,118,60,1,1,3,117,57,1,0.25,0.25,0.5,0,1,-1,-5,NA,NA,NA,NA,NA
4,V11,S6,32,4,mono,disease,shallow,S6,purple,1,2,118.5,60,1,1,3,85,57,1,11,3,14,0,1,-33.5,-5,NA,NA,NA,NA,NA
12,V1,S1,112,4,mono,control,shallow,S1,purple,1,3,187.5,91.5,0,1,4,183,87,0,NA,NA,NA,0,1,-4.5,-4.918032787,NA,NA,NA,NA,NA
8,V23,SP3,71,1,poly,control,shallow,S1,pink,1,1,41,41,0,1,1,39,39,0,NA,NA,NA,0,0,-2,-4.87804878,1,1,1,0,1
5,V53,M12,46,1,mono,control,mid,M12,pink,1,1,31.5,31.5,0,1,1,30,30,0,NA,NA,NA,0,0,-1.5,-4.761904762,NA,NA,NA,NA,NA
12,V1,S1,112,3,mono,control,shallow,S1,blue,1,3,103.5,74.5,0,1,2,90,71,0,NA,NA,NA,0,-1,-13.5,-4.697986577,NA,NA,NA,NA,NA
11,V81,D6,102,4,mono,disease,deep,D6,purple,1,1,21.5,21.5,1,1,1,20.5,20.5,1,9,3,12,0,0,-1,-4.651162791,NA,NA,NA,NA,NA
5,V125,MIX1,49,1,poly,control,mix,D2,pink,1,3,128,65,0,1,3,123,62,0,NA,NA,NA,0,0,-5,-4.615384615,0,0,0,0,1
4,V11,S6,32,2,mono,disease,shallow,S6,yellow,1,1,68,68,1,1,2,82,65,1,5,5,10,0,1,14,-4.411764706,NA,NA,NA,NA,NA
7,V41,M6,66,4,mono,disease,mid,M6,purple,1,4,191.5,71.5,0,1,5,161.5,68.5,0,NA,NA,NA,0,1,-30,-4.195804196,NA,NA,NA,NA,NA
6,V77,D3,54,2,mono,disease,deep,D3,yellow,1,1,12,12,1,1,1,11.5,11.5,1,5,1,6,0,0,-0.5,-4.166666667,NA,NA,NA,NA,NA
5,V53,M12,46,3,mono,control,mid,M12,blue,1,1,50,50,0,1,1,48,48,0,NA,NA,NA,0,0,-2,-4,NA,NA,NA,NA,NA
4,V59,MP3,36,2,poly,disease,mid,M3,yellow,1,2,137.5,77,1,1,3,154,74,1,6,0.5,6.5,0,1,16.5,-3.896103896,1,1,1,0,1
5,V93,DP1,50,2,poly,disease,deep,D3,yellow,1,3,131.5,64.5,1,1,6,146.5,62,1,1.5,1.5,3,0,3,15,-3.875968992,1,1,1,1,1
2,V47,M9,14,3,mono,control,mid,M9,blue,1,2,134.5,118.5,0,1,1,114,114,0,NA,NA,NA,0,-1,-20.5,-3.797468354,NA,NA,NA,NA,NA
4,V113,MIX2,37,3,poly,disease,mix,D6,blue,1,2,85,54,1,1,2,83,52,1,5,3,8,0,0,-2,-3.703703704,1,0,0,0,0
11,V95,DP4,107,1,poly,control,deep,D3,pink,1,3,182.5,86.5,0,1,5,222.5,83.5,0,NA,NA,NA,0,2,40,-3.468208092,1,1,1,0,1
4,V37,M3,33,4,mono,disease,mid,M3,purple,1,2,106,59,1,1,2,115,57,1,5,3,8,0,0,9,-3.389830508,NA,NA,NA,NA,NA
5,V89,D11,44,2,mono,disease,deep,D11,yellow,1,3,107,59,1,1,3,110.5,57,1,2,3,5,0,0,3.5,-3.389830508,NA,NA,NA,NA,NA
6,V91,DP2,58,2,poly,control,deep,D3,yellow,1,3,113.5,61,0,1,5,131,59,0,NA,NA,NA,0,2,17.5,-3.278688525,1,1,1,1,1
8,V83,D8,75,3,mono,disease,deep,D8,blue,1,1,31,31,1,1,1,30,30,1,1,2,3,0,0,-1,-3.225806452,NA,NA,NA,NA,NA
3,V71,MP2,23,4,poly,disease,mid,M6,purple,1,1,63,63,1,1,1,61,61,1,3,2,5,0,0,-2,-3.174603175,1,1,1,0,1
11,V95,DP4,108,4,poly,disease,deep,D6,purple,1,2,93,66,0,1,2,88,64,0,NA,NA,NA,0,0,-5,-3.03030303,1,1,1,0,1
10,V87,D10,92,2,mono,control,deep,D10,yellow,1,1,34,34,0,1,2,46.5,33,0,NA,NA,NA,0,1,12.5,-2.941176471,NA,NA,NA,NA,NA
1,V61,MP5,2,2,poly,control,mid,M8,yellow,1,2,87,75.5,0,1,1,73.5,73.5,0,NA,NA,NA,0,-1,-13.5,-2.649006623,0,0,0,0,0
4,V37,M3,33,2,mono,disease,mid,M3,yellow,1,1,38,38,1,1,1,37,37,0,NA,NA,NA,0,0,-1,-2.631578947,NA,NA,NA,NA,NA
8,V23,SP3,72,1,poly,disease,shallow,S1,pink,1,1,62,62,0,1,1,60.5,60.5,1,2,0,2,0,0,-1.5,-2.419354839,1,1,1,0,1
5,V121,MIX2,43,4,poly,control,mix,M10,purple,1,2,83.5,66.5,0,1,2,84,65,0,NA,NA,NA,0,0,0.5,-2.255639098,1,0,0,0,0
6,V91,DP2,58,1,poly,control,deep,D1,pink,1,1,45,45,0,1,2,70,44,0,NA,NA,NA,0,1,25,-2.222222222,0,1,1,1,1
11,V69,MP4,106,2,poly,disease,mid,M7,yellow,1,2,100.5,51,1,1,2,97,50,1,0.5,1,1.5,0,0,-3.5,-1.960784314,1,0,0,0,1
2,V17,S12,18,3,mono,control,shallow,S12,blue,1,1,53,53,0,1,1,52,52,0,NA,NA,NA,0,0,-1,-1.886792453,NA,NA,NA,NA,NA
8,V23,SP3,71,2,poly,control,shallow,S5,yellow,1,1,56,56,0,1,1,55,55,0,NA,NA,NA,0,0,-1,-1.785714286,0,0,1,0,1
8,V83,D8,75,2,mono,disease,deep,D8,yellow,1,1,59,59,1,1,1,58,58,1,25,7,32,0,0,-1,-1.694915254,NA,NA,NA,NA,NA
3,V101,DP5,21,3,poly,control,deep,D4,blue,1,2,73.5,60,0,1,2,65,59,0,NA,NA,NA,0,0,-8.5,-1.666666667,1,1,1,0,0
2,V17,S12,18,2,mono,control,shallow,S12,yellow,1,2,90.5,64,0,1,2,83,63,1,0.25,0.25,0.5,0,0,-7.5,-1.5625,NA,NA,NA,NA,NA
3,V71,MP2,23,2,poly,disease,mid,M10,yellow,1,1,70,70,1,1,1,69,69,1,2.5,3.5,6,0,0,-1,-1.428571429,1,0,1,0,1
6,V91,DP2,58,3,poly,control,deep,D8,blue,1,1,36.5,36.5,0,1,1,36,36,0,NA,NA,NA,0,0,-0.5,-1.369863014,1,1,1,1,1
2,V47,M9,14,2,mono,control,mid,M9,yellow,1,1,75,75,0,1,2,89.5,74,0,NA,NA,NA,0,1,14.5,-1.333333333,NA,NA,NA,NA,NA
11,V95,DP4,108,1,poly,disease,deep,D3,pink,1,3,213,80,1,1,3,210.5,79,1,0.5,0.5,1,0,0,-2.5,-1.25,1,1,1,0,1
8,V23,SP3,72,4,poly,disease,shallow,S3,purple,1,2,125,83,1,1,2,135,82,1,0.5,0,0.5,0,0,10,-1.204819277,1,1,1,0,1
1,V25,SP1,9,3,poly,disease,shallow,S6,blue,1,1,46.5,46.5,1,1,1,46,46,1,12,3,15,0,0,-0.5,-1.075268817,1,1,1,0,1
7,V41,M6,65,2,mono,control,mid,M6,yellow,1,3,220,123,0,1,6,307,122,0,NA,NA,NA,0,3,87,-0.81300813,NA,NA,NA,NA,NA
3,V49,M10,24,4,mono,control,mid,M10,purple,1,2,122.5,64.5,0,1,2,110,64,0,NA,NA,NA,0,0,-12.5,-0.775193798,NA,NA,NA,NA,NA
9,V5,S3,90,2,mono,control,shallow,S3,yellow,1,3,146,68.5,0,1,3,150,68,0,NA,NA,NA,0,0,4,-0.729927007,NA,NA,NA,NA,NA
4,V59,MP3,35,4,poly,control,mid,M12,purple,1,1,90.5,90.5,0,1,2,108,90,0,NA,NA,NA,0,1,17.5,-0.552486188,1,1,1,0,1
3,V71,MP2,22,3,poly,control,mid,M12,blue,1,1,36,36,0,1,1,36,36,1,10,0,10,0,0,0,0,1,1,1,0,1
3,V71,MP2,23,3,poly,disease,mid,M12,blue,1,1,8,8,1,1,1,8,8,1,3,2,5,0,0,0,0,1,1,1,0,1
3,V55,MP1,29,2,poly,control,mid,M12,yellow,1,2,94.5,80,0,1,2,93,80,0,NA,NA,NA,0,0,-1.5,0,1,1,1,0,1
5,V93,DP1,41,1,poly,control,deep,D9,pink,1,1,17,17,0,1,1,17,17,0,NA,NA,NA,0,0,0,0,0,1,1,1,1
5,V121,MIX2,43,1,poly,control,mix,S1,pink,1,3,178,85,0,1,4,195,85,0,NA,NA,NA,0,1,17,0,1,0,0,0,0
