bin.id,paired.com.id.initial,paired.com.id.final,vase.id,loc.id,diversity.treatment,disease.treatment,depth,family.id,color,alive.24JAN,obs.sn.initial,exp.sn.initial,total.length.24JAN,infected.shoot.length.24JAN,lesion.present.09MAR,alive.26MAR,obs.sn.final,exp.sn.final,total.length.26MAR,infected.shoot.length.26MAR,lesion.present.26MAR,lesion.spread.T.26MAR,lesion.spread.B.26MAR,lesion.spread.26MAR,mono.viable?
3,V55,MP1,29,2,poly,control,mid,M12,yellow,1,2,1.25,94.5,80,0,1,2,1.75,93,80,0,NA,NA,NA,1
4,V59,MP3,35,4,poly,control,mid,M12,purple,1,1,1.25,90.5,90.5,0,1,2,1.75,108,90,0,NA,NA,NA,1
11,V69,MP4,103,4,poly,control,mid,M12,purple,1,2,1.25,73,59.5,0,1,3,1.75,90,55,0,NA,NA,NA,1
3,V71,MP2,23,3,poly,disease,mid,M12,blue,1,1,2,8,8,1,1,1,2.5,8,8,1,3,2,5,1
3,V55,MP1,25,2,poly,disease,mid,M12,yellow,1,1,2,47,47,1,1,2,2.5,54,35,1,3,2.5,5.5,1
4,V59,MP3,36,4,poly,disease,mid,M12,purple,1,2,2,84,54,1,1,3,2.5,85,43,1,5,3,8,1
11,V69,MP4,106,4,poly,disease,mid,M12,purple,1,2,2,70,59,1,1,2,2.5,54,41,1,7,7.5,14.5,1
1,V61,MP5,2,4,poly,control,mid,M3,purple,1,1,1.67,36,36,0,1,1,3.33,23,23,0,NA,NA,NA,1
3,V55,MP1,29,4,poly,control,mid,M3,purple,1,4,1.67,235.5,73,0,1,4,3.33,206,74,1,9,0,9,1
4,V59,MP3,35,2,poly,control,mid,M3,yellow,1,1,1.67,7,7,0,1,1,3.33,6,6,0,NA,NA,NA,1
3,V55,MP1,25,4,poly,disease,mid,M3,purple,1,1,1.25,35,35,1,1,1,1.25,26,26,1,19,2.5,21.5,1
4,V59,MP3,36,2,poly,disease,mid,M3,yellow,1,2,1.25,137.5,77,1,1,3,1.25,154,74,1,6,0.5,6.5,1
11,V69,MP4,106,1,poly,disease,mid,M3,pink,1,1,1.25,21.5,21.5,1,1,1,1.25,22,22,1,11,4,15,1
4,V59,MP3,35,3,poly,control,mid,M4,blue,1,1,1.5,12.5,12.5,0,1,1,1.25,8,8,NA,NA,NA,NA,1
3,V55,MP1,25,3,poly,disease,mid,M4,blue,1,2,2.5,84,70,1,1,2,2.5,80,61,1,2,5,7,1
4,V63,MP5,34,3,poly,disease,mid,M4,blue,1,1,2.5,49,49,0,1,1,2.5,38,38,0,NA,NA,NA,1
3,V71,MP2,22,4,poly,control,mid,M6,purple,1,3,1.67,201,91,0,1,2,2.67,115,75,0,NA,NA,NA,1
4,V59,MP3,35,1,poly,control,mid,M6,pink,1,1,1.67,21,21,0,1,1,2.67,10,10,NA,NA,NA,NA,1
3,V71,MP2,23,4,poly,disease,mid,M6,purple,1,1,1.75,63,63,1,1,1,2,61,61,1,3,2,5,1
1,V61,MP5,2,3,poly,control,mid,M7,blue,1,3,1.67,170,99,0,1,3,1.67,148.5,85,0,NA,NA,NA,1
11,V69,MP4,106,2,poly,disease,mid,M7,yellow,1,2,1,100.5,51,1,1,2,1.5,97,50,1,0.5,1,1.5,1
1,V61,MP5,2,2,poly,control,mid,M8,yellow,1,2,1.71,87,75.5,0,1,1,1.97,73.5,73.5,0,NA,NA,NA,0
3,V71,MP2,22,1,poly,control,mid,M9,pink,1,4,1.5,275,111,0,1,4,1.5,255,93,0,NA,NA,NA,1
11,V69,MP4,103,3,poly,control,mid,M9,blue,1,1,1.5,30.5,30.5,0,1,1,1.5,24,24,0,NA,NA,NA,1
3,V71,MP2,23,1,poly,disease,mid,M9,pink,1,1,2.5,65.5,65.5,1,1,1,3,66,66,1,6,2,8,1
11,V69,MP4,106,3,poly,disease,mid,M9,blue,1,3,2.5,145.5,83.5,0,1,3,3,118,65,0,NA,NA,NA,NA
6,V33,SP4,52,2,poly,control,shallow,S1,yellow,1,1,2.33,27.5,27.5,0,1,1,2.33,23,23,0,NA,NA,NA,1
8,V23,SP3,71,1,poly,control,shallow,S1,pink,1,1,2.33,41,41,0,1,1,2.33,39,39,0,NA,NA,NA,1
8,V23,SP3,72,1,poly,disease,shallow,S1,pink,1,1,1,62,62,0,1,1,1,60.5,60.5,1,2,0,2,1
12,V27,SP4,118,4,poly,disease,shallow,S1,purple,1,1,1,49,49,1,1,1,1,45,45,1,7,2,9,1
8,V21,SP2,80,2,poly,control,shallow,S10,yellow,1,2,1.71,104,83,0,1,2,1.97,92,73,0,NA,NA,NA,0
8,V21,SP2,76,2,poly,disease,shallow,S10,yellow,1,1,1.68,8.5,8.5,0,1,1,1.83,9,9,0,NA,NA,NA,0
8,V23,SP3,71,3,poly,control,shallow,S11,blue,1,3,2.5,257,101.5,0,1,4,3.5,184,82,0,NA,NA,NA,1
8,V21,SP2,80,3,poly,control,shallow,S11,blue,1,3,2.5,206.5,121.5,0,1,3,3.5,199,113.5,0,NA,NA,NA,1
8,V21,SP2,76,3,poly,disease,shallow,S11,blue,1,3,1,206.5,121,1,1,4,1,192,95,1,7,3.5,10.5,1
1,V25,SP1,6,1,poly,control,shallow,S12,pink,1,2,1.33,71.5,58.5,0,1,3,1.33,85,53,0,NA,NA,NA,1
6,V33,SP4,52,1,poly,control,shallow,S12,pink,1,1,1.33,6.5,6.5,0,1,1,1.33,2,2,0,NA,NA,NA,1
1,V25,SP1,9,1,poly,disease,shallow,S12,pink,1,2,3,94.5,68.5,1,1,2,3,52,27,1,11,2,13,1
1,V25,SP1,6,2,poly,control,shallow,S3,yellow,1,1,1.67,42.5,42.5,0,1,1,1.67,19,19,0,NA,NA,NA,1
8,V23,SP3,71,4,poly,control,shallow,S3,purple,1,2,1.67,124.5,67.5,0,1,2,1.67,62,48,0,NA,NA,NA,1
8,V23,SP3,72,4,poly,disease,shallow,S3,purple,1,2,2,125,83,1,1,2,2.25,135,82,1,0.5,0,0.5,1
12,V27,SP4,118,2,poly,disease,shallow,S4,yellow,1,5,1.68,184,62,1,1,6,1.83,187.5,58,1,0.5,0.5,1,0
6,V33,SP4,52,4,poly,control,shallow,S5,purple,1,1,1.71,24.5,24.5,0,1,1,1.97,17,17,0,NA,NA,NA,0
8,V23,SP3,71,2,poly,control,shallow,S5,yellow,1,1,1.71,56,56,0,1,1,1.97,55,55,0,NA,NA,NA,0
8,V21,SP2,76,4,poly,disease,shallow,S5,purple,1,1,1.68,44,44,1,1,1,1.83,37,37,1,3,2,5,0
1,V25,SP1,6,3,poly,control,shallow,S6,blue,1,1,1,22.5,22.5,0,1,1,1.5,15.5,15.5,0,NA,NA,NA,1
8,V21,SP2,80,1,poly,control,shallow,S6,pink,1,2,1,95.5,62,0,1,2,1.5,107,62,0,NA,NA,NA,1
1,V25,SP1,9,3,poly,disease,shallow,S6,blue,1,1,1.5,46.5,46.5,1,1,1,2.5,46,46,1,12,3,15,1
8,V21,SP2,76,1,poly,disease,shallow,S6,pink,1,1,1.5,33,33,1,1,1,2.5,30.5,30.5,1,3,3,6,1
12,V27,SP4,118,1,poly,disease,shallow,S6,pink,1,1,1.5,48,48,1,1,1,2.5,45.5,45.5,1,0.5,0.5,1,1
